Ref,Rank,Player_ref,Player,Player Image Link,Team_ref,Team,Team Flag Link,Matches,Points,Year,Month,Format,Category
lrODIsBatsmen2023_026,26,p00026,firstname lastname lrODIs Batsmen26,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kw.png,t002,Kuwait,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kw.png,39,77,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_027,27,p00027,firstname lastname lrODIs Batsmen27,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mv.png,t003,Maldives,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mv.png,19,76.23,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_028,28,p00028,firstname lastname lrODIs Batsmen28,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sa.png,t004,Saudi Arabia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sa.png,43,75.47,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_029,29,p00029,firstname lastname lrODIs Batsmen29,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/qa.png,t005,Qatar,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/qa.png,38,74.72,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_030,30,p00030,firstname lastname lrODIs Batsmen30,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ph.png,t006,Philippines,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ph.png,37,73.97,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_031,31,p00031,firstname lastname lrODIs Batsmen31,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/vu.png,t007,Vanuatu,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/vu.png,11,73.23,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_032,32,p00032,firstname lastname lrODIs Batsmen32,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mt.png,t008,Malta,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mt.png,42,72.5,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_033,33,p00033,firstname lastname lrODIs Batsmen33,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/es.png,t001,Spain,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/es.png,25,71.77,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_034,34,p00034,firstname lastname lrODIs Batsmen34,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bz.png,t002,Belize,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bz.png,23,71.06,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_035,35,p00035,firstname lastname lrODIs Batsmen35,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mx.png,t003,Mexico,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mx.png,11,70.34,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_036,36,p00036,firstname lastname lrODIs Batsmen36,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cr.png,t004,Costa Rica,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cr.png,32,69.64,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_037,37,p00037,firstname lastname lrODIs Batsmen37,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pa.png,t005,Panama,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pa.png,15,68.94,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_038,38,p00038,firstname lastname lrODIs Batsmen38,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/be.png,t006,Belgium,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/be.png,35,68.26,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_039,39,p00039,firstname lastname lrODIs Batsmen39,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/de.png,t007,Germany,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/de.png,14,67.57,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_040,40,p00040,firstname lastname lrODIs Batsmen40,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ng.png,t008,Nigeria,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ng.png,10,66.9,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_041,41,p00041,firstname lastname lrODIs Batsmen41,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bw.png,t001,Botswana,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bw.png,11,66.23,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_042,42,p00042,firstname lastname lrODIs Batsmen42,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gh.png,t002,Ghana,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gh.png,22,65.57,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_043,43,p00043,firstname lastname lrODIs Batsmen43,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ug.png,t003,Uganda,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ug.png,49,64.91,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_044,44,p00044,firstname lastname lrODIs Batsmen44,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/it.png,t004,Italy,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/it.png,42,64.26,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_045,45,p00045,firstname lastname lrODIs Batsmen45,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gg.png,t005,Guernsey,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gg.png,26,63.62,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_046,46,p00046,firstname lastname lrODIs Batsmen46,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/je.png,t006,Jersey,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/je.png,17,62.98,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_047,47,p00047,firstname lastname lrODIs Batsmen47,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/no.png,t007,Norway,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/no.png,36,62.35,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_048,48,p00048,firstname lastname lrODIs Batsmen48,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/dk.png,t008,Denmark,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/dk.png,13,61.73,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_049,49,p00049,firstname lastname lrODIs Batsmen49,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/my.png,t001,Malaysia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/my.png,41,61.11,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_050,50,p00050,firstname lastname lrODIs Batsmen50,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/th.png,t002,Thailand,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/th.png,24,60.5,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_051,51,p00051,firstname lastname lrODIs Batsmen51,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ws.png,t003,Samoa,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ws.png,31,59.9,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_052,52,p00052,firstname lastname lrODIs Batsmen52,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fi.png,t004,Finland,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fi.png,49,59.3,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_053,53,p00053,firstname lastname lrODIs Batsmen53,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sg.png,t005,Singapore,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sg.png,48,58.7,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_054,54,p00054,firstname lastname lrODIs Batsmen54,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ky.png,t006,Cayman Islands,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ky.png,34,58.12,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_055,55,p00055,firstname lastname lrODIs Batsmen55,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/at.png,t007,Austria,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/at.png,37,57.54,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_056,56,p00056,firstname lastname lrODIs Batsmen56,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ro.png,t008,Romania,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ro.png,26,56.96,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_057,57,p00057,firstname lastname lrODIs Batsmen57,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lu.png,t001,Luxembourg,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/lu.png,20,56.39,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_058,58,p00058,firstname lastname lrODIs Batsmen58,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/tr.png,t002,Turkey,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/tr.png,28,55.83,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_059,59,p00059,firstname lastname lrODIs Batsmen59,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cz.png,t003,Czech Republic,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cz.png,29,55.27,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_060,60,p00060,firstname lastname lrODIs Batsmen60,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ar.png,t004,Argentina,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ar.png,15,54.72,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_061,61,p00061,firstname lastname lrODIs Batsmen61,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/br.png,t005,Brazil,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/br.png,22,54.17,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_062,62,p00062,firstname lastname lrODIs Batsmen62,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cl.png,t006,Chile,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cl.png,16,53.63,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_063,63,p00063,firstname lastname lrODIs Batsmen63,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pe.png,t007,Peru,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pe.png,27,53.09,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_064,64,p00064,firstname lastname lrODIs Batsmen64,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bg.png,t008,Bulgaria,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bg.png,48,52.56,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_065,65,p00065,firstname lastname lrODIs Batsmen65,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/rs.png,t001,Serbia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/rs.png,16,52.03,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_066,66,p00066,firstname lastname lrODIs Batsmen66,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gr.png,t002,Greece,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gr.png,45,51.51,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_067,67,p00067,firstname lastname lrODIs Batsmen67,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pt.png,t003,Portugal,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/pt.png,40,51,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_068,68,p00068,firstname lastname lrODIs Batsmen68,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gi.png,t004,Gibraltar,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gi.png,16,50.49,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_069,69,p00069,firstname lastname lrODIs Batsmen69,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mw.png,t005,Malawi,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mw.png,38,49.98,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_070,70,p00070,firstname lastname lrODIs Batsmen70,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mz.png,t006,Mozambique,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mz.png,50,49.48,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_071,71,p00071,firstname lastname lrODIs Batsmen71,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bt.png,t007,Bhutan,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bt.png,32,48.99,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_072,72,p00072,firstname lastname lrODIs Batsmen72,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/im.png,t008,Isle of Man,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/im.png,47,48.5,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_073,73,p00073,firstname lastname lrODIs Batsmen73,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fr.png,t001,France,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fr.png,19,48.01,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_074,74,p00074,firstname lastname lrODIs Batsmen74,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/se.png,t002,Sweden,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/se.png,43,47.53,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_075,75,p00075,firstname lastname lrODIs Batsmen75,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/rw.png,t003,Rwanda,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/rw.png,12,47.06,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_076,76,p00076,firstname lastname lrODIs Batsmen76,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hu.png,t004,Hungary,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hu.png,19,46.59,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_077,77,p00077,firstname lastname lrODIs Batsmen77,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cy.png,t005,Cyprus,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cy.png,24,46.12,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_078,78,p00078,firstname lastname lrODIs Batsmen78,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ee.png,t006,Estonia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ee.png,49,45.66,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_079,79,p00079,firstname lastname lrODIs Batsmen79,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ls.png,t007,Lesotho,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ls.png,13,45.2,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_080,80,p00080,firstname lastname lrODIs Batsmen80,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sc.png,t008,Seychelles,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sc.png,39,44.75,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_081,81,p00081,firstname lastname lrODIs Batsmen81,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sl.png,t001,Sierra Leone,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/sl.png,49,44.3,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_082,82,p00082,firstname lastname lrODIs Batsmen82,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ch.png,t002,Switzerland,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ch.png,49,43.86,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_083,83,p00083,firstname lastname lrODIs Batsmen83,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cm.png,t003,Cameroon,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/cm.png,21,43.42,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_084,84,p00084,firstname lastname lrODIs Batsmen84,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bs.png,t004,Bahamas,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/bs.png,26,42.99,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_085,85,p00085,firstname lastname lrODIs Batsmen85,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/il.png,t005,Israel,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/il.png,45,42.56,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_086,86,p00086,firstname lastname lrODIs Batsmen86,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hr.png,t006,Croatia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/hr.png,27,42.13,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_087,87,p00087,firstname lastname lrODIs Batsmen87,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/si.png,t007,Slovenia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/si.png,10,41.71,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_088,88,p00088,firstname lastname lrODIs Batsmen88,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fj.png,t008,Fiji,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/fj.png,21,41.29,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_089,89,p00089,firstname lastname lrODIs Batsmen89,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ck.png,t001,Cook Islands,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ck.png,47,40.88,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_090,90,p00090,firstname lastname lrODIs Batsmen90,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/id.png,t002,Indonesia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/id.png,36,40.47,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_091,91,p00091,firstname lastname lrODIs Batsmen91,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/jp.png,t003,Japan,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/jp.png,19,40.07,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_092,92,p00092,firstname lastname lrODIs Batsmen92,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ml.png,t004,Mali,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/ml.png,25,39.67,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_093,93,p00093,firstname lastname lrODIs Batsmen93,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gm.png,t005,Gambia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/gm.png,11,39.27,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_094,94,p00094,firstname lastname lrODIs Batsmen94,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kh.png,t006,Cambodia,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/kh.png,50,38.88,2024,February,ODIs,Batsmen
lrODIsBatsmen2023_095,95,p00095,firstname lastname lrODIs Batsmen95,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mm.png,t007,Myanmar,https://cricratings.nyc3.cdn.digitaloceanspaces.com/teams_images/mm.png,36,38.49,2024,February,ODIs,Batsmen
